theta_deg,correlation
0,-1.0
5,-0.9961946980917455
10,-0.984807753012208
15,-0.9659258262890683
20,-0.9396926207859084
25,-0.9063077870366499
30,-0.8660254037844387
35,-0.8191520442889918
40,-0.766044443118978
45,-0.7071067811865476
50,-0.6427876096865394
55,-0.573576436351046
60,-0.5000000000000001
65,-0.42261826174069944
70,-0.3420201433256688
75,-0.25881904510252074
80,-0.17364817766693041
85,-0.08715574274765814
90,-6.123233995736766e-17
95,0.08715574274765824
100,0.1736481776669303
105,0.25881904510252085
110,0.3420201433256687
115,0.42261826174069933
120,0.4999999999999998
125,0.5735764363510462
130,0.6427876096865394
135,0.7071067811865475
140,0.7660444431189779
145,0.8191520442889919
150,0.8660254037844387
155,0.9063077870366499
160,0.9396926207859083
165,0.9659258262890682
170,0.984807753012208
175,0.9961946980917455
180,1.0
