depth,noise,accuracy
1,0.02,0.7683049549717917
2,0.02,0.7273796235977528
3,0.02,0.7175357039208149
4,0.02,0.6670056517910078
5,0.02,0.6314724648945835
6,0.02,0.6398277425193262
7,0.02,0.6028884933983236
8,0.02,0.5454752936747876
9,0.02,0.5274570756240313
10,0.02,0.48367833463543136
11,0.02,0.4781395633423466
12,0.02,0.4424059419308868
13,0.02,0.42235289296677186
14,0.02,0.38796695041682955
15,0.02,0.3327978726804667
16,0.02,0.33936558080736773
17,0.02,0.2776653325550849
18,0.02,0.27169481999161227
19,0.02,0.23046187344498253
20,0.02,0.20838304076728392
